shipment_id,truck_id,origin_port,border,destination,depart_time,border_arrival_time,border_exit_time,arrival_time,goods_category,weight_kg,declared_value_usd,fuel_price_usd_per_litre,rainfall_indicator,delay_reason
SHP00001,TRK754,Mombasa,Malaba,Kampala,2024-01-29 00:00:00,2024-01-29 12:26:57.490795,2024-01-29 19:37:49.228206,2024-01-30 00:36:35.670901,Electronics,16047.07,20438.99,1.55,0,None
SHP00002,TRK704,Mombasa,Malaba,Kampala,2024-04-18 01:00:00,2024-04-18 09:10:43.619940,2024-04-18 13:39:43.839026,2024-04-18 18:32:12.225863,Construction Materials,27040.37,32255.69,1.46,1,None
SHP00003,TRK325,Mombasa,Malaba,Kampala,2024-04-24 18:00:00,2024-04-25 03:40:08.919298,2024-04-25 07:48:57.582009,2024-04-25 15:17:35.506628,Textiles,10252.37,13212.2,1.27,0,None
SHP00004,TRK320,Mombasa,Malaba,Kampala,2024-03-27 03:00:00,2024-03-27 11:33:23.310217,2024-03-27 15:42:12.174996,2024-03-27 20:05:24.890822,Textiles,6095.6,6005.17,1.12,1,None
SHP00005,TRK649,Mombasa,Malaba,Kampala,2024-02-01 12:00:00,2024-02-01 20:28:22.084278,2024-02-02 10:25:18.999930,2024-02-02 15:35:40.767182,Pharmaceuticals,5711.12,8013.81,1.39,0,Customs Inspection
SHP00006,TRK777,Mombasa,Malaba,Kampala,2024-02-28 09:00:00,2024-02-28 22:54:40.784846,2024-02-29 07:30:41.212140,2024-02-29 14:55:57.787323,Textiles,3909.01,3887.83,1.42,1,None
SHP00007,TRK266,Mombasa,Malaba,Kampala,2024-04-04 11:00:00,2024-04-04 20:15:25.351865,2024-04-04 23:39:00.994284,2024-04-05 04:43:05.474922,Pharmaceuticals,5888.21,7221.25,1.19,0,None
SHP00008,TRK267,Mombasa,Malaba,Kampala,2024-04-28 12:00:00,2024-04-28 21:37:10.873059,2024-04-29 05:01:44.869372,2024-04-29 12:43:50.502359,Pharmaceuticals,5341.7,6833.26,1.52,0,None
SHP00009,TRK334,Mombasa,Malaba,Kampala,2024-01-09 10:00:00,2024-01-09 20:24:25.159400,2024-01-10 02:24:13.930252,2024-01-10 06:40:07.046167,Construction Materials,32527.35,33186.83,1.43,1,None
SHP00010,TRK758,Mombasa,Malaba,Kampala,2024-04-27 04:00:00,2024-04-27 13:35:21.411596,2024-04-27 14:14:13.292986,2024-04-27 19:13:24.729097,Construction Materials,25779.55,34104.02,1.31,1,None
SHP00011,TRK470,Mombasa,Malaba,Kampala,2024-02-26 04:00:00,2024-02-26 15:03:25.767943,2024-02-26 17:04:15.184596,2024-02-26 21:26:04.280131,Fuel,37222.06,33760.0,1.18,1,None
SHP00012,TRK710,Mombasa,Malaba,Kampala,2024-01-17 12:00:00,2024-01-17 22:17:22.976589,2024-01-18 04:36:29.565472,2024-01-18 12:35:33.713347,Construction Materials,20028.28,23778.74,1.57,0,None
SHP00013,TRK798,Mombasa,Malaba,Kampala,2024-05-17 08:00:00,2024-05-17 20:36:41.732625,2024-05-18 09:42:25.642794,2024-05-18 15:04:04.169606,Food,16521.48,18464.51,1.58,1,Weather Disruption
SHP00014,TRK880,Mombasa,Malaba,Kampala,2024-02-15 16:00:00,2024-02-16 05:28:32.761330,2024-02-16 09:39:04.764928,2024-02-16 17:08:00.232334,Food,22625.04,26140.16,1.2,1,None
SHP00015,TRK880,Mombasa,Malaba,Kampala,2024-02-11 17:00:00,2024-02-12 06:43:15.594549,2024-02-12 09:53:42.290891,2024-02-12 17:35:05.341652,Fuel,31978.89,36520.66,1.16,1,None
SHP00016,TRK999,Mombasa,Malaba,Kampala,2024-03-19 07:00:00,2024-03-19 15:20:51.183596,2024-03-19 20:47:22.465044,2024-03-20 04:18:05.803273,Fuel,21713.07,24757.1,1.13,0,None
SHP00017,TRK231,Mombasa,Malaba,Kampala,2024-06-17 15:00:00,2024-06-18 04:40:51.931482,2024-06-18 07:41:49.003874,2024-06-18 12:21:26.832083,Construction Materials,32448.66,35570.11,1.21,0,None
SHP00018,TRK830,Mombasa,Malaba,Kampala,2024-03-20 12:00:00,2024-03-21 01:58:15.226104,2024-03-21 05:55:26.833020,2024-03-21 12:31:25.077050,Machinery,27791.51,31016.45,1.22,0,None
SHP00019,TRK446,Mombasa,Malaba,Kampala,2024-01-06 18:00:00,2024-01-07 05:19:24.704884,2024-01-07 10:16:17.171657,2024-01-07 16:37:30.709305,Fuel,21419.86,26598.58,1.21,0,None
SHP00020,TRK980,Mombasa,Malaba,Kampala,2024-03-25 02:00:00,2024-03-25 13:05:05.772188,2024-03-25 15:00:19.255080,2024-03-25 20:07:09.327681,Machinery,12713.21,11348.04,1.57,1,None
SHP00021,TRK348,Mombasa,Malaba,Kampala,2024-05-01 13:00:00,2024-05-01 22:08:32.854150,2024-05-02 07:03:09.503168,2024-05-02 11:26:25.306893,Machinery,15794.55,17180.86,1.53,0,None
